"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.10.2022","12,86","12,73","12,86","12,57","9,55M","1,67%"
"26.10.2022","12,65","12,43","12,88","12,35","50,36M","2,66%"
"25.10.2022","12,32","11,80","12,50","11,78","34,99M","4,08%"
"24.10.2022","11,84","11,93","12,08","11,66","20,84M","-0,10%"
"21.10.2022","11,85","11,55","11,92","11,46","14,96M","1,69%"
"20.10.2022","11,65","11,48","11,79","11,45","22,24M","2,13%"
"19.10.2022","11,41","11,41","11,47","11,06","25,14M","0,80%"
"18.10.2022","11,32","11,51","11,88","11,25","41,23M","-1,55%"
"17.10.2022","11,50","11,09","11,55","10,99","20,52M","4,62%"
"14.10.2022","10,99","11,07","11,10","10,85","12,60M","0,00%"
"13.10.2022","10,99","10,78","11,10","10,70","18,92M","1,85%"
"12.10.2022","10,79","10,81","10,98","10,61","14,87M","0,92%"
"11.10.2022","10,70","10,60","10,90","10,46","17,90M","1,08%"
"10.10.2022","10,58","10,00","10,66","9,52","35,95M","4,36%"
"07.10.2022","10,14","10,60","10,60","10,14","18,47M","-4,44%"
"06.10.2022","10,61","10,79","10,98","10,60","16,00M","-1,28%"
"05.10.2022","10,75","11,00","11,00","10,34","37,47M","-2,28%"
"04.10.2022","11,00","11,31","11,45","10,79","37,17M","-2,05%"
"03.10.2022","11,23","10,67","11,30","10,54","37,74M","5,16%"
"30.09.2022","10,68","10,54","10,69","10,00","47,82M","1,38%"
"29.09.2022","10,53","10,71","10,76","10,01","40,65M","-1,46%"
"28.09.2022","10,69","10,73","10,89","10,43","31,96M","-0,36%"
"27.09.2022","10,73","10,34","11,09","10,10","48,37M","3,72%"
"26.09.2022","10,34","11,47","11,56","9,90","72,61M","-12,03%"
"23.09.2022","11,76","12,81","12,81","11,37","70,48M","-8,00%"
"22.09.2022","12,78","12,63","13,12","12,40","25,54M","1,28%"
"21.09.2022","12,62","12,16","13,47","12,05","43,86M","-7,10%"
"20.09.2022","13,58","14,89","14,94","13,15","65,18M","-8,76%"
"19.09.2022","14,89","14,80","14,99","14,80","10,55M","0,39%"
"16.09.2022","14,83","14,72","15,10","14,72","20,30M","0,28%"
"15.09.2022","14,79","14,87","14,87","14,61","13,62M","0,00%"
"14.09.2022","14,79","15,00","15,02","14,54","29,45M","-1,39%"
"13.09.2022","15,00","15,10","15,19","14,93","14,69M","-0,46%"
"12.09.2022","15,07","15,00","15,27","14,90","21,39M","0,40%"
"09.09.2022","15,01","14,80","15,07","14,73","11,11M","2,03%"
"08.09.2022","14,71","14,75","14,95","14,66","20,60M","-0,20%"
"07.09.2022","14,74","14,86","15,34","14,65","44,94M","-0,43%"
"06.09.2022","14,81","15,43","15,44","14,50","58,27M","-4,08%"
"05.09.2022","15,43","14,70","15,43","14,60","51,25M","5,35%"
"02.09.2022","14,65","14,50","14,65","14,37","18,69M","1,31%"
"01.09.2022","14,46","14,67","14,67","14,46","14,61M","-1,38%"
"31.08.2022","14,66","14,48","14,66","14,45","17,88M","0,84%"
"30.08.2022","14,54","14,59","14,59","14,36","19,27M","-0,27%"
"29.08.2022","14,58","14,65","14,96","14,41","38,76M","0,55%"
"26.08.2022","14,50","14,44","14,53","14,36","10,66M","0,97%"
"25.08.2022","14,36","14,50","14,68","14,34","18,81M","-0,70%"
"24.08.2022","14,46","14,70","14,70","14,32","16,50M","-1,49%"
"23.08.2022","14,68","14,45","14,88","14,34","23,50M","1,66%"
"22.08.2022","14,44","14,27","14,49","14,15","10,52M","1,06%"
"19.08.2022","14,29","14,45","14,45","14,01","13,38M","-1,09%"
"18.08.2022","14,45","14,56","14,63","14,23","11,92M","-0,42%"
"17.08.2022","14,51","14,81","15,06","14,45","26,78M","-1,98%"
