"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.10.2022","816,40","807,40","822,40","805,00","73,20K","2,08%"
"21.10.2022","799,80","798,60","801,60","792,20","21,69K","0,15%"
"20.10.2022","798,60","801,00","805,60","795,20","15,78K","0,78%"
"19.10.2022","792,40","797,80","808,20","772,00","33,96K","-0,95%"
"18.10.2022","800,00","805,80","814,00","793,00","30,14K","0,00%"
"17.10.2022","800,00","799,40","808,60","793,20","32,91K","0,20%"
"14.10.2022","798,40","787,40","800,60","785,20","19,67K","1,63%"
"13.10.2022","785,60","812,20","812,20","772,20","35,63K","-2,29%"
"12.10.2022","804,00","801,20","816,40","799,80","27,96K","0,55%"
"11.10.2022","799,60","794,20","809,60","776,80","42,73K","1,96%"
"10.10.2022","784,20","706,00","791,60","700,40","60,70K","1,79%"
"07.10.2022","770,40","770,00","774,60","745,60","50,12K","1,37%"
"06.10.2022","760,00","747,40","785,80","743,00","36,67K","1,69%"
"05.10.2022","747,40","760,00","776,80","740,00","65,01K","-2,17%"
"04.10.2022","764,00","764,00","781,80","750,00","49,09K","0,42%"
"03.10.2022","760,80","721,20","765,00","720,20","119,24K","7,00%"
"30.09.2022","711,00","711,00","740,00","681,20","91,33K","0,08%"
"29.09.2022","710,40","736,20","739,80","678,60","124,92K","-2,01%"
"28.09.2022","725,00","690,40","737,40","675,60","91,53K","5,32%"
"27.09.2022","688,40","658,60","689,80","650,20","93,80K","4,84%"
"26.09.2022","656,60","733,80","734,80","619,00","261,26K","-10,69%"
"23.09.2022","735,20","787,00","794,80","733,00","90,59K","-6,46%"
"22.09.2022","786,00","786,00","837,00","780,00","85,15K","0,00%"
"21.09.2022","786,00","750,00","790,00","690,00","171,31K","-3,91%"
"20.09.2022","818,00","895,00","897,80","801,00","145,37K","-8,68%"
"19.09.2022","895,80","899,00","907,00","895,20","25,37K","-0,78%"
"16.09.2022","902,80","909,20","909,20","900,00","18,83K","0,11%"
"15.09.2022","901,80","891,00","908,80","891,00","39,58K","0,90%"
"14.09.2022","893,80","928,00","928,60","865,00","142,03K","-3,06%"
"13.09.2022","922,00","927,20","936,80","920,60","23,49K","-0,86%"
"12.09.2022","930,00","925,80","938,00","900,80","49,68K","0,32%"
"09.09.2022","927,00","916,00","935,00","909,20","44,20K","2,43%"
"08.09.2022","905,00","908,80","919,20","892,00","38,25K","-0,88%"
"07.09.2022","913,00","925,20","933,80","910,60","27,06K","-1,62%"
"06.09.2022","928,00","944,00","950,00","900,40","80,95K","-1,38%"
"05.09.2022","941,00","928,00","947,40","922,60","58,32K","2,06%"
"02.09.2022","922,00","908,60","929,00","891,80","74,50K","1,47%"
"01.09.2022","908,60","914,80","914,80","906,00","32,08K","-0,33%"
"31.08.2022","911,60","908,60","919,80","905,00","45,93K","0,33%"
"30.08.2022","908,60","902,60","916,40","902,60","38,46K","0,66%"
"29.08.2022","902,60","899,80","909,00","897,00","32,30K","0,92%"
"26.08.2022","894,40","905,40","920,00","890,00","49,03K","-0,84%"
"25.08.2022","902,00","893,00","905,00","891,40","29,56K","1,01%"
"24.08.2022","893,00","887,00","894,80","870,40","27,12K","0,79%"
"23.08.2022","886,00","892,80","910,00","885,00","55,33K","-0,18%"
"22.08.2022","887,60","879,00","890,00","870,20","26,50K","1,44%"
"19.08.2022","875,00","894,80","905,00","870,20","60,12K","0,57%"
"18.08.2022","870,00","874,60","883,20","866,20","24,99K","-0,53%"
"17.08.2022","874,60","892,80","914,20","870,00","72,78K","-1,95%"
"16.08.2022","892,00","899,00","917,60","863,20","97,20K","-0,82%"
"15.08.2022","899,40","860,00","899,60","851,20","136,13K","4,24%"
"12.08.2022","862,80","817,40","871,00","805,40","119,81K","5,22%"
"11.08.2022","820,00","827,00","835,60","818,00","61,29K","-0,19%"
"10.08.2022","821,60","799,00","821,80","793,00","61,29K","3,61%"
"09.08.2022","793,00","787,60","800,00","777,00","60,36K","0,69%"
"08.08.2022","787,60","819,00","821,00","761,60","115,83K","-0,73%"
"05.08.2022","793,40","822,40","822,40","780,00","47,24K","-1,61%"
"04.08.2022","806,40","831,80","831,80","805,00","32,47K","-1,13%"
"03.08.2022","815,60","798,40","819,20","780,80","45,24K","2,08%"
"02.08.2022","799,00","833,00","833,40","796,00","41,18K","-4,08%"
"01.08.2022","833,00","848,00","853,00","823,20","42,46K","-1,63%"
"29.07.2022","846,80","832,40","853,00","831,00","42,56K","1,90%"
"28.07.2022","831,00","821,00","834,80","818,00","27,09K","1,24%"
"27.07.2022","820,80","832,60","843,80","810,00","45,50K","-0,87%"
"26.07.2022","828,00","830,00","836,00","814,20","70,87K","0,73%"
"25.07.2022","822,00","810,80","841,80","800,00","106,33K","3,40%"
"22.07.2022","795,00","759,80","802,00","751,40","66,56K","5,41%"
"21.07.2022","754,20","766,00","773,60","750,00","60,55K","-1,54%"
"20.07.2022","766,00","770,00","779,00","762,00","22,39K","0,66%"
"19.07.2022","761,00","783,00","783,00","750,00","46,44K","-1,19%"
"18.07.2022","770,20","809,60","809,60","762,00","77,80K","-1,63%"
"15.07.2022","783,00","761,00","795,00","755,20","97,79K","4,68%"
"14.07.2022","748,00","750,00","785,40","735,00","92,11K","-0,58%"
"13.07.2022","752,40","802,00","834,00","740,40","185,19K","-6,18%"
"12.07.2022","802,00","825,00","825,00","788,20","67,38K","-2,34%"
"11.07.2022","821,20","845,00","845,00","809,20","49,96K","-2,00%"
"08.07.2022","838,00","862,60","870,00","769,40","129,88K","-2,56%"
"07.07.2022","860,00","843,60","865,00","836,00","30,94K","1,92%"
"06.07.2022","843,80","824,00","855,00","820,60","53,61K","0,79%"
"05.07.2022","837,20","854,40","862,80","811,40","76,16K","-2,01%"
"04.07.2022","854,40","888,80","888,80","850,40","55,83K","-2,02%"
"01.07.2022","872,00","859,60","880,00","846,00","50,93K","0,95%"
"30.06.2022","863,80","899,00","925,00","846,00","94,23K","-3,57%"
"29.06.2022","895,80","888,00","909,00","875,00","62,47K","0,88%"
"28.06.2022","888,00","920,00","937,40","880,00","94,53K","-3,71%"
"27.06.2022","922,20","848,00","923,00","837,20","182,50K","8,62%"
"24.06.2022","849,00","846,20","862,00","830,20","57,50K","0,69%"
"23.06.2022","843,20","854,80","857,00","841,00","40,85K","-1,03%"
"22.06.2022","852,00","863,40","875,00","841,00","40,63K","-2,78%"
"21.06.2022","876,40","870,00","878,00","845,00","58,78K","1,15%"
"20.06.2022","866,40","851,00","885,60","848,00","59,33K","0,81%"
"17.06.2022","859,40","871,00","874,00","841,40","52,91K","-0,46%"
"16.06.2022","863,40","818,20","884,80","809,60","143,24K","5,42%"
"15.06.2022","819,00","792,00","823,80","786,00","82,63K","4,33%"
