"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.10.2022","2.485,00","2.473,50","2.534,00","2.455,00","181,57K","1,06%"
"21.10.2022","2.459,00","2.513,00","2.513,00","2.374,50","749,89K","-1,76%"
"20.10.2022","2.503,00","2.619,00","2.647,00","2.466,50","671,12K","-4,06%"
"19.10.2022","2.609,00","2.601,00","2.635,00","2.530,50","300,45K","-0,61%"
"18.10.2022","2.625,00","2.710,00","2.759,00","2.600,50","399,11K","-2,85%"
"17.10.2022","2.702,00","2.599,00","2.709,00","2.574,00","364,65K","5,20%"
"14.10.2022","2.568,50","2.620,00","2.637,50","2.506,00","262,07K","-1,38%"
"13.10.2022","2.604,50","2.510,00","2.630,00","2.492,50","397,63K","4,01%"
"12.10.2022","2.504,00","2.527,50","2.544,50","2.466,00","176,58K","0,32%"
"11.10.2022","2.496,00","2.491,50","2.526,50","2.451,00","229,25K","0,50%"
"10.10.2022","2.483,50","2.192,00","2.490,00","2.192,00","416,12K","4,68%"
"07.10.2022","2.372,50","2.525,00","2.525,00","2.301,00","373,28K","-5,97%"
"06.10.2022","2.523,00","2.569,50","2.666,00","2.454,00","510,76K","-1,33%"
"05.10.2022","2.557,00","2.650,00","2.650,00","2.430,00","425,26K","-3,14%"
"04.10.2022","2.640,00","2.666,00","2.700,00","2.536,00","500,78K","0,15%"
"03.10.2022","2.636,00","2.412,00","2.637,50","2.390,50","515,65K","11,04%"
"30.09.2022","2.374,00","2.309,00","2.420,00","2.117,00","562,31K","3,62%"
"29.09.2022","2.291,00","2.425,00","2.465,50","2.255,50","391,17K","-4,34%"
"28.09.2022","2.395,00","2.418,00","2.525,00","2.331,50","434,42K","-0,75%"
"27.09.2022","2.413,00","2.160,00","2.466,00","2.160,00","625,12K","14,63%"
"26.09.2022","2.105,00","2.500,00","2.500,00","2.105,00","671,78K","-17,52%"
"23.09.2022","2.552,00","2.830,00","2.838,00","2.490,00","484,06K","-8,53%"
"22.09.2022","2.790,00","2.662,00","2.910,50","2.662,00","504,81K","4,79%"
"21.09.2022","2.662,50","2.509,50","2.755,00","2.271,50","672,57K","-4,26%"
"20.09.2022","2.781,00","3.223,50","3.240,50","2.602,00","1,35M","-12,77%"
"19.09.2022","3.188,00","3.110,00","3.192,00","3.110,00","293,27K","2,64%"
"16.09.2022","3.106,00","3.041,00","3.150,00","2.594,00","538,23K","2,49%"
"15.09.2022","3.030,50","3.015,00","3.050,00","2.979,50","241,10K","1,22%"
"14.09.2022","2.994,00","3.024,00","3.024,50","2.868,00","369,79K","-0,53%"
"13.09.2022","3.010,00","2.980,00","3.050,00","2.954,50","588,78K","2,03%"
"12.09.2022","2.950,00","2.799,00","2.965,00","2.799,00","548,05K","5,85%"
"09.09.2022","2.787,00","2.765,00","2.820,50","2.722,50","185,92K","0,67%"
"08.09.2022","2.768,50","2.721,00","2.876,50","2.680,00","615,34K","2,01%"
"07.09.2022","2.714,00","2.690,00","2.736,00","2.594,00","172,73K","1,65%"
"06.09.2022","2.670,00","2.774,00","2.774,00","2.490,00","325,10K","-3,05%"
"05.09.2022","2.754,00","2.770,00","2.783,00","2.710,50","103,41K","-0,45%"
"02.09.2022","2.766,50","2.748,50","2.810,00","2.733,00","185,24K","1,02%"
"01.09.2022","2.738,50","2.730,00","2.750,00","2.705,50","145,10K","0,96%"
"31.08.2022","2.712,50","2.689,00","2.750,00","2.642,00","202,56K","0,89%"
"30.08.2022","2.688,50","2.730,00","2.790,00","2.684,00","392,64K","-0,98%"
"29.08.2022","2.715,00","2.627,50","2.723,00","2.612,00","238,99K","3,23%"
"26.08.2022","2.630,00","2.650,00","2.658,00","2.590,00","122,48K","0,15%"
"25.08.2022","2.626,00","2.549,00","2.677,00","2.453,00","424,09K","1,80%"
"24.08.2022","2.579,50","2.750,00","2.799,00","2.555,00","973,01K","-5,06%"
"23.08.2022","2.717,00","2.720,00","2.800,00","2.604,00","459,01K","-0,11%"
"22.08.2022","2.720,00","2.720,00","2.895,50","2.552,50","1,28M","0,74%"
"19.08.2022","2.700,00","2.480,50","2.700,00","2.454,50","588,10K","8,87%"
"18.08.2022","2.480,00","2.440,00","2.504,00","2.420,00","258,79K","2,04%"
"17.08.2022","2.430,50","2.420,00","2.555,00","2.411,50","615,23K","0,62%"
"16.08.2022","2.415,50","2.253,00","2.440,00","2.253,00","360,89K","7,26%"
"15.08.2022","2.252,00","2.250,00","2.290,00","2.180,00","253,74K","0,99%"
"12.08.2022","2.230,00","2.169,00","2.280,00","2.080,00","364,59K","3,75%"
"11.08.2022","2.149,50","2.065,00","2.172,00","2.061,50","440,83K","5,11%"
"10.08.2022","2.045,00","1.942,00","2.050,00","1.925,00","296,98K","6,65%"
"09.08.2022","1.917,50","1.919,50","1.919,50","1.883,50","84,27K","1,37%"
"08.08.2022","1.891,50","1.940,00","1.940,00","1.878,00","99,83K","1,75%"
"05.08.2022","1.859,00","1.874,00","1.940,00","1.840,00","169,46K","-0,56%"
"04.08.2022","1.869,50","1.848,00","1.878,00","1.827,50","82,85K","1,82%"
"03.08.2022","1.836,00","1.813,00","1.886,00","1.813,00","104,56K","1,44%"
"02.08.2022","1.810,00","1.850,00","1.906,50","1.807,50","134,78K","-3,95%"
"01.08.2022","1.884,50","1.959,00","1.959,00","1.865,00","130,86K","-3,36%"
"29.07.2022","1.950,00","1.948,00","1.993,00","1.931,50","98,97K","0,13%"
"28.07.2022","1.947,50","1.985,00","1.987,00","1.930,50","100,80K","-0,79%"
"27.07.2022","1.963,00","2.022,50","2.022,50","1.928,00","157,74K","-1,58%"
"26.07.2022","1.994,50","1.990,00","2.038,50","1.930,00","251,05K","1,27%"
"25.07.2022","1.969,50","1.876,00","1.969,50","1.857,00","206,90K","6,23%"
"22.07.2022","1.854,00","1.761,00","1.891,00","1.760,00","225,56K","5,40%"
"21.07.2022","1.759,00","1.771,00","1.786,50","1.704,50","107,38K","-0,68%"
"20.07.2022","1.771,00","1.815,50","1.845,00","1.756,00","136,22K","-2,34%"
"19.07.2022","1.813,50","1.876,00","1.876,00","1.800,00","85,33K","-3,33%"
"18.07.2022","1.876,00","1.935,00","1.935,00","1.850,00","123,75K","-1,34%"
"15.07.2022","1.901,50","1.873,50","1.909,00","1.845,00","117,79K","1,17%"
"14.07.2022","1.879,50","1.902,00","1.932,50","1.865,00","81,36K","-0,82%"
"13.07.2022","1.895,00","1.949,50","1.987,00","1.863,00","150,57K","-2,50%"
"12.07.2022","1.943,50","1.975,00","1.994,00","1.892,00","117,87K","-1,84%"
"11.07.2022","1.980,00","2.021,00","2.090,50","1.970,00","159,04K","-1,64%"
"08.07.2022","2.013,00","2.053,00","2.053,00","1.957,00","115,45K","-0,89%"
"07.07.2022","2.031,00","2.100,50","2.135,00","2.014,00","121,20K","-3,29%"
"06.07.2022","2.100,00","2.073,00","2.149,50","2.052,50","226,33K","2,99%"
"05.07.2022","2.039,00","1.980,00","2.095,00","1.980,00","321,61K","1,34%"
